category,name,movie,year,status
COSTUME DESIGN,VICTORIA & ABDUL,Consolata Boyle,2018,nominee
DIRECTING,THE SHAPE OF WATER,Guillermo del Toro,2018,nominee
DIRECTING,DUNKIRK,Christopher Nolan,2018,nominee
DIRECTING,GET OUT,Jordan Peele,2018,nominee
DIRECTING,LADY BIRD,Greta Gerwig,2018,nominee
DIRECTING,PHANTOM THREAD,Paul Thomas Anderson,2018,nominee
DOCUMENTARY (FEATURE),ICARUS,Bryan Fogel and Dan Cogan,2018,nominee
DOCUMENTARY (FEATURE),ABACUS: SMALL ENOUGH TO JAIL,"Steve James, Mark Mitten and Julie Goldman",2018,nominee
DOCUMENTARY (FEATURE),FACES PLACES,"Agnès Varda, JR and Rosalie Varda",2018,nominee
DOCUMENTARY (FEATURE),LAST MEN IN ALEPPO,"Feras Fayyad, Kareem Abeed and Søren Steen Jespersen",2018,nominee
DOCUMENTARY (FEATURE),STRONG ISLAND,Yance Ford and Joslyn Barnes,2018,nominee
DOCUMENTARY (SHORT SUBJECT),HEAVEN IS A TRAFFIC JAM ON THE 405,Frank Stiefel,2018,nominee
DOCUMENTARY (SHORT SUBJECT),EDITH+EDDIE,Laura Checkoway and Thomas Lee Wright,2018,nominee
DOCUMENTARY (SHORT SUBJECT),HEROIN(E),Elaine McMillion Sheldon and Kerrin Sheldon,2018,nominee
DOCUMENTARY (SHORT SUBJECT),KNIFE SKILLS,Thomas Lennon,2018,nominee
DOCUMENTARY (SHORT SUBJECT),TRAFFIC STOP,Kate Davis and David Heilbroner,2018,nominee
FILM EDITING,DUNKIRK,Lee Smith,2018,nominee
FILM EDITING,BABY DRIVER,Paul Machliss and Jonathan Amos,2018,nominee
FILM EDITING,"I, TONYA",Tatiana S. Riegel,2018,nominee
FILM EDITING,THE SHAPE OF WATER,Sidney Wolinsky,2018,nominee
FILM EDITING,"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI",Jon Gregory,2018,nominee
FOREIGN LANGUAGE FILM,A FANTASTIC WOMAN,Chile,2018,nominee
FOREIGN LANGUAGE FILM,THE INSULT,Lebanon,2018,nominee
FOREIGN LANGUAGE FILM,LOVELESS,Russia,2018,nominee
FOREIGN LANGUAGE FILM,ON BODY AND SOUL,Hungary,2018,nominee
FOREIGN LANGUAGE FILM,THE SQUARE,Sweden,2018,nominee
MAKEUP AND HAIRSTYLING,DARKEST HOUR,"Kazuhiro Tsuji, David Malinowski and Lucy Sibbick",2018,nominee
MAKEUP AND HAIRSTYLING,VICTORIA & ABDUL,Daniel Phillips and Lou Sheppard,2018,nominee
MAKEUP AND HAIRSTYLING,WONDER,Arjen Tuiten,2018,nominee
MUSIC (ORIGINAL SCORE),THE SHAPE OF WATER,Alexandre Desplat,2018,nominee
MUSIC (ORIGINAL SCORE),DUNKIRK,Hans Zimmer,2018,nominee
MUSIC (ORIGINAL SCORE),PHANTOM THREAD,Jonny Greenwood,2018,nominee
MUSIC (ORIGINAL SCORE),STAR WARS: THE LAST JEDI,John Williams,2018,nominee
MUSIC (ORIGINAL SCORE),"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI",Carter Burwell,2018,nominee
MUSIC (ORIGINAL SONG),REMEMBER ME,from Coco; Music and Lyric by Kristen Anderson-Lopez and Robert Lopez,2018,nominee
MUSIC (ORIGINAL SONG),MIGHTY RIVER,"from Mudbound; Music and Lyric by Mary J. Blige, Raphael Saadiq and Taura Stinson",2018,nominee
MUSIC (ORIGINAL SONG),MYSTERY OF LOVE,from Call Me by Your Name; Music and Lyric by Sufjan Stevens,2018,nominee
MUSIC (ORIGINAL SONG),STAND UP FOR SOMETHING,from Marshall; Music by Diane Warren; Lyric by Lonnie R. Lynn and Diane Warren,2018,nominee
MUSIC (ORIGINAL SONG),THIS IS ME,from The Greatest Showman; Music and Lyric by Benj Pasek and Justin Paul,2018,nominee
BEST PICTURE,THE SHAPE OF WATER,"Guillermo del Toro and J. Miles Dale, Producers",2018,nominee
BEST PICTURE,CALL ME BY YOUR NAME,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers",2018,nominee
BEST PICTURE,DARKEST HOUR,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers",2018,nominee
BEST PICTURE,DUNKIRK,"Emma Thomas and Christopher Nolan, Producers",2018,nominee
BEST PICTURE,GET OUT,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers",2018,nominee
BEST PICTURE,LADY BIRD,"Scott Rudin, Eli Bush and Evelyn O'Neill, Producers",2018,nominee
BEST PICTURE,PHANTOM THREAD,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers",2018,nominee
BEST PICTURE,THE POST,"Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers",2018,nominee
BEST PICTURE,"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI","Graham Broadbent, Pete Czernin and Martin McDonagh, Producers",2018,nominee
PRODUCTION DESIGN,THE SHAPE OF WATER,Production Design: Paul Denham Austerberry; Set Decoration: Shane Vieau and Jeffrey A. Melvin,2018,nominee
PRODUCTION DESIGN,BEAUTY AND THE BEAST,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,2018,nominee
PRODUCTION DESIGN,BLADE RUNNER 2049,Production Design: Dennis Gassner; Set Decoration: Alessandra Querzola,2018,nominee
PRODUCTION DESIGN,DARKEST HOUR,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,2018,nominee
PRODUCTION DESIGN,DUNKIRK,Production Design: Nathan Crowley; Set Decoration: Gary Fettis,2018,nominee
SHORT FILM (ANIMATED),DEAR BASKETBALL,Glen Keane and Kobe Bryant,2018,nominee
SHORT FILM (ANIMATED),GARDEN PARTY,Victor Caire and Gabriel Grapperon,2018,nominee
SHORT FILM (ANIMATED),LOU,Dave Mullins and Dana Murray,2018,nominee
SHORT FILM (ANIMATED),NEGATIVE SPACE,Max Porter and Ru Kuwahata,2018,nominee
SHORT FILM (ANIMATED),REVOLTING RHYMES,Jakob Schuh and Jan Lachauer,2018,nominee
SHORT FILM (LIVE ACTION),THE SILENT CHILD,Chris Overton and Rachel Shenton,2018,nominee
SHORT FILM (LIVE ACTION),DEKALB ELEMENTARY,Reed Van Dyk,2018,nominee
SHORT FILM (LIVE ACTION),THE ELEVEN O'CLOCK,Derin Seale and Josh Lawson,2018,nominee
SHORT FILM (LIVE ACTION),MY NEPHEW EMMETT,"Kevin Wilson, Jr.",2018,nominee
SHORT FILM (LIVE ACTION),WATU WOTE/ALL OF US,Katja Benrath and Tobias Rosen,2018,nominee
SOUND EDITING,DUNKIRK,Richard King and Alex Gibson,2018,nominee
SOUND EDITING,BABY DRIVER,Julian Slater,2018,nominee
SOUND EDITING,BLADE RUNNER 2049,Mark Mangini and Theo Green,2018,nominee
SOUND EDITING,THE SHAPE OF WATER,Nathan Robitaille and Nelson Ferreira,2018,nominee
SOUND EDITING,STAR WARS: THE LAST JEDI,Matthew Wood and Ren Klyce,2018,nominee
SOUND MIXING,DUNKIRK,"Gregg Landaker, Gary A. Rizzo and Mark Weingarten",2018,nominee
SOUND MIXING,BABY DRIVER,"Julian Slater, Tim Cavagin and Mary H. Ellis",2018,nominee
SOUND MIXING,BLADE RUNNER 2049,"Ron Bartlett, Doug Hemphill and Mac Ruth",2018,nominee
SOUND MIXING,THE SHAPE OF WATER,"Christian Cooke, Brad Zoern and Glen Gauthier",2018,nominee
SOUND MIXING,STAR WARS: THE LAST JEDI,"David Parker, Michael Semanick, Ren Klyce and Stuart Wilson",2018,nominee
VISUAL EFFECTS,BLADE RUNNER 2049,"John Nelson, Gerd Nefzer, Paul Lambert and Richard R. Hoover",2018,nominee
VISUAL EFFECTS,GUARDIANS OF THE GALAXY VOL. 2,"Christopher Townsend, Guy Williams, Jonathan Fawkner and Dan Sudick",2018,nominee
VISUAL EFFECTS,KONG: SKULL ISLAND,"Stephen Rosenbaum, Jeff White, Scott Benza and Mike Meinardus",2018,nominee
VISUAL EFFECTS,STAR WARS: THE LAST JEDI,"Ben Morris, Mike Mulholland, Neal Scanlan and Chris Corbould",2018,nominee
VISUAL EFFECTS,WAR FOR THE PLANET OF THE APES,"Joe Letteri, Daniel Barrett, Dan Lemmon and Joel Whist",2018,nominee
WRITING (ADAPTED SCREENPLAY),CALL ME BY YOUR NAME,Screenplay by James Ivory,2018,nominee
WRITING (ADAPTED SCREENPLAY),THE DISASTER ARTIST,Screenplay by Scott Neustadter & Michael H. Weber,2018,nominee
WRITING (ADAPTED SCREENPLAY),LOGAN,Screenplay by Scott Frank & James Mangold and Michael Green; Story by James Mangold,2018,nominee
WRITING (ADAPTED SCREENPLAY),MOLLY'S GAME,Written for the screen by Aaron Sorkin,2018,nominee
WRITING (ADAPTED SCREENPLAY),MUDBOUND,Screenplay by Virgil Williams and Dee Rees,2018,nominee
WRITING (ORIGINAL SCREENPLAY),GET OUT,Written by Jordan Peele,2018,nominee
WRITING (ORIGINAL SCREENPLAY),THE BIG SICK,Written by Emily V. Gordon & Kumail Nanjiani,2018,nominee
WRITING (ORIGINAL SCREENPLAY),LADY BIRD,Written by Greta Gerwig,2018,nominee
WRITING (ORIGINAL SCREENPLAY),THE SHAPE OF WATER,Screenplay by Guillermo del Toro & Vanessa Taylor; Story by Guillermo del Toro,2018,nominee
WRITING (ORIGINAL SCREENPLAY),"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI",Written by Martin McDonagh,2018,nominee
ACTOR IN A LEADING ROLE,RAMI MALEK,Bohemian Rhapsody,2019,nominee
ACTOR IN A LEADING ROLE,CHRISTIAN BALE,Vice,2019,nominee
ACTOR IN A LEADING ROLE,BRADLEY COOPER,A Star Is Born,2019,nominee
ACTOR IN A LEADING ROLE,WILLEM DAFOE,At Eternity's Gate,2019,nominee
ACTOR IN A LEADING ROLE,VIGGO MORTENSEN,Green Book,2019,nominee
ACTOR IN A SUPPORTING ROLE,MAHERSHALA ALI,Green Book,2019,nominee
ACTOR IN A SUPPORTING ROLE,ADAM DRIVER,BlacKkKlansman,2019,nominee
ACTOR IN A SUPPORTING ROLE,SAM ELLIOTT,A Star Is Born,2019,nominee
ACTOR IN A SUPPORTING ROLE,RICHARD E. GRANT,Can You Ever Forgive Me?,2019,nominee
ACTOR IN A SUPPORTING ROLE,SAM ROCKWELL,Vice,2019,nominee
ACTRESS IN A LEADING ROLE,OLIVIA COLMAN,The Favourite,2019,nominee
ACTRESS IN A LEADING ROLE,YALITZA APARICIO,Roma,2019,nominee
ACTRESS IN A LEADING ROLE,GLENN CLOSE,The Wife,2019,nominee
ACTRESS IN A LEADING ROLE,LADY GAGA,A Star Is Born,2019,nominee
ACTRESS IN A LEADING ROLE,MELISSA MCCARTHY,Can You Ever Forgive Me?,2019,nominee
ACTRESS IN A SUPPORTING ROLE,REGINA KING,If Beale Street Could Talk,2019,nominee
ACTRESS IN A SUPPORTING ROLE,AMY ADAMS,Vice,2019,nominee
ACTRESS IN A SUPPORTING ROLE,MARINA DE TAVIRA,Roma,2019,nominee
ACTRESS IN A SUPPORTING ROLE,EMMA STONE,The Favourite,2019,nominee
ACTRESS IN A SUPPORTING ROLE,RACHEL WEISZ,The Favourite,2019,nominee
ANIMATED FEATURE FILM,SPIDER-MAN: INTO THE SPIDER-VERSE,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Miller",2019,nominee
ANIMATED FEATURE FILM,INCREDIBLES 2,"Brad Bird, John Walker and Nicole Paradis Grindle",2019,nominee
ANIMATED FEATURE FILM,ISLE OF DOGS,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson",2019,nominee
ANIMATED FEATURE FILM,MIRAI,Mamoru Hosoda and Yuichiro Saito,2019,nominee
ANIMATED FEATURE FILM,RALPH BREAKS THE INTERNET,"Rich Moore, Phil Johnston and Clark Spencer",2019,nominee
CINEMATOGRAPHY,ROMA,Alfonso Cuarón,2019,nominee
CINEMATOGRAPHY,COLD WAR,Łukasz Żal,2019,nominee
CINEMATOGRAPHY,THE FAVOURITE,Robbie Ryan,2019,nominee
CINEMATOGRAPHY,NEVER LOOK AWAY,Caleb Deschanel,2019,nominee
CINEMATOGRAPHY,A STAR IS BORN,Matthew Libatique,2019,nominee
COSTUME DESIGN,BLACK PANTHER,Ruth Carter,2019,nominee
COSTUME DESIGN,THE BALLAD OF BUSTER SCRUGGS,Mary Zophres,2019,nominee
COSTUME DESIGN,THE FAVOURITE,Sandy Powell,2019,nominee
COSTUME DESIGN,MARY POPPINS RETURNS,Sandy Powell,2019,nominee
COSTUME DESIGN,MARY QUEEN OF SCOTS,Alexandra Byrne,2019,nominee
DIRECTING,ROMA,Alfonso Cuarón,2019,nominee
DIRECTING,BLACKKKLANSMAN,Spike Lee,2019,nominee
DIRECTING,COLD WAR,Paweł Pawlikowski,2019,nominee
DIRECTING,THE FAVOURITE,Yorgos Lanthimos,2019,nominee
DIRECTING,VICE,Adam McKay,2019,nominee
DOCUMENTARY (FEATURE),FREE SOLO,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill",2019,nominee
DOCUMENTARY (FEATURE),"HALE COUNTY THIS MORNING, THIS EVENING","RaMell Ross, Joslyn Barnes and Su Kim",2019,nominee
DOCUMENTARY (FEATURE),MINDING THE GAP,Bing Liu and Diane Quon,2019,nominee
DOCUMENTARY (FEATURE),OF FATHERS AND SONS,"Talal Derki, Ansgar Frerich, Eva Kemme and Tobias N. Siebert",2019,nominee
DOCUMENTARY (FEATURE),RBG,Betsy West and Julie Cohen,2019,nominee
DOCUMENTARY (SHORT SUBJECT),PERIOD. END OF SENTENCE.,Rayka Zehtabchi and Melissa Berton,2019,nominee
DOCUMENTARY (SHORT SUBJECT),BLACK SHEEP,Ed Perkins and Jonathan Chinn,2019,nominee
DOCUMENTARY (SHORT SUBJECT),END GAME,Rob Epstein and Jeffrey Friedman,2019,nominee
DOCUMENTARY (SHORT SUBJECT),LIFEBOAT,Skye Fitzgerald and Bryn Mooser,2019,nominee
DOCUMENTARY (SHORT SUBJECT),A NIGHT AT THE GARDEN,Marshall Curry,2019,nominee
FILM EDITING,BOHEMIAN RHAPSODY,John Ottman,2019,nominee
FILM EDITING,BLACKKKLANSMAN,Barry Alexander Brown,2019,nominee
FILM EDITING,THE FAVOURITE,Yorgos Mavropsaridis,2019,nominee
FILM EDITING,GREEN BOOK,Patrick J. Don Vito,2019,nominee
FILM EDITING,VICE,Hank Corwin,2019,nominee
FOREIGN LANGUAGE FILM,ROMA,Mexico,2019,nominee
FOREIGN LANGUAGE FILM,CAPERNAUM,Lebanon,2019,nominee
FOREIGN LANGUAGE FILM,COLD WAR,Poland,2019,nominee
FOREIGN LANGUAGE FILM,NEVER LOOK AWAY,Germany,2019,nominee
FOREIGN LANGUAGE FILM,SHOPLIFTERS,Japan,2019,nominee
MAKEUP AND HAIRSTYLING,VICE,"Greg Cannom, Kate Biscoe and Patricia Dehaney",2019,nominee
MAKEUP AND HAIRSTYLING,BORDER,Göran Lundström and Pamela Goldammer,2019,nominee
MAKEUP AND HAIRSTYLING,MARY QUEEN OF SCOTS,"Jenny Shircore, Marc Pilcher and Jessica Brooks",2019,nominee
MUSIC (ORIGINAL SCORE),BLACK PANTHER,Ludwig Goransson,2019,nominee
MUSIC (ORIGINAL SCORE),BLACKKKLANSMAN,Terence Blanchard,2019,nominee
MUSIC (ORIGINAL SCORE),IF BEALE STREET COULD TALK,Nicholas Britell,2019,nominee
MUSIC (ORIGINAL SCORE),ISLE OF DOGS,Alexandre Desplat,2019,nominee
MUSIC (ORIGINAL SCORE),MARY POPPINS RETURNS,Marc Shaiman,2019,nominee
MUSIC (ORIGINAL SONG),SHALLOW,"from A Star Is Born; Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt",2019,nominee
MUSIC (ORIGINAL SONG),ALL THE STARS,"from Black Panther; Music by Kendrick Lamar, Mark “Sounwave” Spears and Anthony “Top Dawg” Tiffith; Lyric by Kendrick Lamar, SZA and Anthony “Top Dawg” Tiffith",2019,nominee
MUSIC (ORIGINAL SONG),I'LL FIGHT,from RBG; Music and Lyric by Diane Warren,2019,nominee
MUSIC (ORIGINAL SONG),THE PLACE WHERE LOST THINGS GO,from Mary Poppins Returns; Music by Marc Shaiman; Lyric by Scott Wittman and Marc Shaiman,2019,nominee
MUSIC (ORIGINAL SONG),WHEN A COWBOY TRADES HIS SPURS FOR WINGS,from The Ballad of Buster Scruggs; Music and Lyric by Gillian Welch and David Rawlings,2019,nominee
BEST PICTURE,GREEN BOOK,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",2019,nominee
BEST PICTURE,BLACK PANTHER,"Kevin Feige, Producer",2019,nominee
BEST PICTURE,BLACKKKLANSMAN,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers",2019,nominee
BEST PICTURE,BOHEMIAN RHAPSODY,"Graham King, Producer",2019,nominee
BEST PICTURE,THE FAVOURITE,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers",2019,nominee
BEST PICTURE,ROMA,"Gabriela Rodríguez and Alfonso Cuarón, Producers",2019,nominee
BEST PICTURE,A STAR IS BORN,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",2019,nominee
BEST PICTURE,VICE,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers",2019,nominee
PRODUCTION DESIGN,BLACK PANTHER,Production Design: Hannah Beachler; Set Decoration: Jay Hart,2019,nominee
PRODUCTION DESIGN,THE FAVOURITE,Production Design: Fiona Crombie; Set Decoration: Alice Felton,2019,nominee
PRODUCTION DESIGN,FIRST MAN,Production Design: Nathan Crowley; Set Decoration: Kathy Lucas,2019,nominee
PRODUCTION DESIGN,MARY POPPINS RETURNS,Production Design: John Myhre; Set Decoration: Gordon Sim,2019,nominee
PRODUCTION DESIGN,ROMA,Production Design: Eugenio Caballero; Set Decoration: Bárbara Enríquez,2019,nominee
SHORT FILM (ANIMATED),BAO,Domee Shi and Becky Neiman-Cobb,2019,nominee
SHORT FILM (ANIMATED),ANIMAL BEHAVIOUR,Alison Snowden and David Fine,2019,nominee
SHORT FILM (ANIMATED),LATE AFTERNOON,Louise Bagnall and Nuria González Blanco,2019,nominee
SHORT FILM (ANIMATED),ONE SMALL STEP,Andrew Chesworth and Bobby Pontillas,2019,nominee
SHORT FILM (ANIMATED),WEEKENDS,Trevor Jimenez,2019,nominee
SHORT FILM (LIVE ACTION),SKIN,Guy Nattiv and Jaime Ray Newman,2019,nominee
SHORT FILM (LIVE ACTION),DETAINMENT,Vincent Lambe and Darren Mahon,2019,nominee
SHORT FILM (LIVE ACTION),FAUVE,Jeremy Comte and Maria Gracia Turgeon,2019,nominee
SHORT FILM (LIVE ACTION),MARGUERITE,Marianne Farley and Marie-Hélène Panisset,2019,nominee
SHORT FILM (LIVE ACTION),MOTHER,Rodrigo Sorogoyen and María del Puy Alvarado,2019,nominee
SOUND EDITING,BOHEMIAN RHAPSODY,John Warhurst and Nina Hartstone,2019,nominee
SOUND EDITING,BLACK PANTHER,Benjamin A. Burtt and Steve Boeddeker,2019,nominee
SOUND EDITING,FIRST MAN,Ai-Ling Lee and Mildred Iatrou Morgan,2019,nominee
SOUND EDITING,A QUIET PLACE,Ethan Van der Ryn and Erik Aadahl,2019,nominee
SOUND EDITING,ROMA,Sergio Díaz and Skip Lievsay,2019,nominee
SOUND MIXING,BOHEMIAN RHAPSODY,"Paul Massey, Tim Cavagin and John Casali",2019,nominee
SOUND MIXING,BLACK PANTHER,"Steve Boeddeker, Brandon Proctor and Peter Devlin",2019,nominee
SOUND MIXING,FIRST MAN,"Jon Taylor, Frank A. Montaño, Ai-Ling Lee and Mary H. Ellis",2019,nominee
SOUND MIXING,ROMA,"Skip Lievsay, Craig Henighan and José Antonio García",2019,nominee
SOUND MIXING,A STAR IS BORN,"Tom Ozanich, Dean Zupancic, Jason Ruder and Steve Morrow",2019,nominee
VISUAL EFFECTS,FIRST MAN,"Paul Lambert, Ian Hunter, Tristan Myles and J.D. Schwalm",2019,nominee
VISUAL EFFECTS,AVENGERS: INFINITY WAR,"Dan DeLeeuw, Kelly Port, Russell Earl and Dan Sudick",2019,nominee
VISUAL EFFECTS,CHRISTOPHER ROBIN,"Christopher Lawrence, Michael Eames, Theo Jones and Chris Corbould",2019,nominee
VISUAL EFFECTS,READY PLAYER ONE,"Roger Guyett, Grady Cofer, Matthew E. Butler and David Shirk",2019,nominee
VISUAL EFFECTS,SOLO: A STAR WARS STORY,"Rob Bredow, Patrick Tubach, Neal Scanlan and Dominic Tuohy",2019,nominee
WRITING (ADAPTED SCREENPLAY),BLACKKKLANSMAN,Written by Charlie Wachtel & David Rabinowitz and Kevin Willmott & Spike Lee,2019,nominee
WRITING (ADAPTED SCREENPLAY),THE BALLAD OF BUSTER SCRUGGS,Written by Joel Coen & Ethan Coen,2019,nominee
WRITING (ADAPTED SCREENPLAY),CAN YOU EVER FORGIVE ME?,Screenplay by Nicole Holofcener and Jeff Whitty,2019,nominee
WRITING (ADAPTED SCREENPLAY),IF BEALE STREET COULD TALK,Written for the screen by Barry Jenkins,2019,nominee
WRITING (ADAPTED SCREENPLAY),A STAR IS BORN,Screenplay by Eric Roth and Bradley Cooper & Will Fetters,2019,nominee
WRITING (ORIGINAL SCREENPLAY),GREEN BOOK,"Written by Nick Vallelonga, Brian Currie, Peter Farrelly",2019,nominee
WRITING (ORIGINAL SCREENPLAY),THE FAVOURITE,Written by Deborah Davis and Tony McNamara,2019,nominee
WRITING (ORIGINAL SCREENPLAY),FIRST REFORMED,Written by Paul Schrader,2019,nominee
WRITING (ORIGINAL SCREENPLAY),ROMA,Written by Alfonso Cuarón,2019,nominee
WRITING (ORIGINAL SCREENPLAY),VICE,Written by Adam McKay,2019,nominee
ACTOR IN A LEADING ROLE,JOAQUIN PHOENIX,Joker,2020,nominee
ACTOR IN A LEADING ROLE,ANTONIO BANDERAS,Pain and Glory,2020,nominee
ACTOR IN A LEADING ROLE,LEONARDO DICAPRIO,Once upon a Time...in Hollywood,2020,nominee
ACTOR IN A LEADING ROLE,ADAM DRIVER,Marriage Story,2020,nominee
ACTOR IN A LEADING ROLE,JONATHAN PRYCE,The Two Popes,2020,nominee
ACTOR IN A SUPPORTING ROLE,BRAD PITT,Once upon a Time...in Hollywood,2020,nominee
ACTOR IN A SUPPORTING ROLE,TOM HANKS,A Beautiful Day in the Neighborhood,2020,nominee
ACTOR IN A SUPPORTING ROLE,ANTHONY HOPKINS,The Two Popes,2020,nominee
ACTOR IN A SUPPORTING ROLE,AL PACINO,The Irishman,2020,nominee
ACTOR IN A SUPPORTING ROLE,JOE PESCI,The Irishman,2020,nominee
ACTRESS IN A LEADING ROLE,RENÉE ZELLWEGER,Judy,2020,nominee
ACTRESS IN A LEADING ROLE,CYNTHIA ERIVO,Harriet,2020,nominee
ACTRESS IN A LEADING ROLE,SCARLETT JOHANSSON,Marriage Story,2020,nominee
ACTRESS IN A LEADING ROLE,SAOIRSE RONAN,Little Women,2020,nominee
ACTRESS IN A LEADING ROLE,CHARLIZE THERON,Bombshell,2020,nominee
ACTRESS IN A SUPPORTING ROLE,LAURA DERN,Marriage Story,2020,nominee
ACTRESS IN A SUPPORTING ROLE,KATHY BATES,Richard Jewell,2020,nominee
ACTRESS IN A SUPPORTING ROLE,SCARLETT JOHANSSON,Jojo Rabbit,2020,nominee
ACTRESS IN A SUPPORTING ROLE,FLORENCE PUGH,Little Women,2020,nominee
ACTRESS IN A SUPPORTING ROLE,MARGOT ROBBIE,Bombshell,2020,nominee
ANIMATED FEATURE FILM,TOY STORY 4,"Josh Cooley, Mark Nielsen and Jonas Rivera",2020,nominee
ANIMATED FEATURE FILM,HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD,"Dean DeBlois, Bradford Lewis and Bonnie Arnold",2020,nominee
ANIMATED FEATURE FILM,I LOST MY BODY,Jérémy Clapin and Marc du Pontavice,2020,nominee
ANIMATED FEATURE FILM,KLAUS,"Sergio Pablos, Jinko Gotoh and Marisa Román",2020,nominee
ANIMATED FEATURE FILM,MISSING LINK,"Chris Butler, Arianne Sutner and Travis Knight",2020,nominee
CINEMATOGRAPHY,1917,Roger Deakins,2020,nominee
CINEMATOGRAPHY,THE IRISHMAN,Rodrigo Prieto,2020,nominee
CINEMATOGRAPHY,JOKER,Lawrence Sher,2020,nominee
CINEMATOGRAPHY,THE LIGHTHOUSE,Jarin Blaschke,2020,nominee
CINEMATOGRAPHY,ONCE UPON A TIME...IN HOLLYWOOD,Robert Richardson,2020,nominee
COSTUME DESIGN,LITTLE WOMEN,Jacqueline Durran,2020,nominee
COSTUME DESIGN,THE IRISHMAN,Sandy Powell and Christopher Peterson,2020,nominee
COSTUME DESIGN,JOJO RABBIT,Mayes C. Rubeo,2020,nominee
COSTUME DESIGN,JOKER,Mark Bridges,2020,nominee
COSTUME DESIGN,ONCE UPON A TIME...IN HOLLYWOOD,Arianne Phillips,2020,nominee
DIRECTING,PARASITE,Bong Joon Ho,2020,nominee
DIRECTING,THE IRISHMAN,Martin Scorsese,2020,nominee
DIRECTING,JOKER,Todd Phillips,2020,nominee
DIRECTING,1917,Sam Mendes,2020,nominee
DIRECTING,ONCE UPON A TIME...IN HOLLYWOOD,Quentin Tarantino,2020,nominee
DOCUMENTARY (FEATURE),AMERICAN FACTORY,"Steven Bognar, Julia Reichert and Jeff Reichert",2020,nominee
DOCUMENTARY (FEATURE),THE CAVE,"Feras Fayyad, Kirstine Barfod and Sigrid Dyekjær",2020,nominee
DOCUMENTARY (FEATURE),THE EDGE OF DEMOCRACY,"Petra Costa, Joanna Natasegara, Shane Boris and Tiago Pavan",2020,nominee
DOCUMENTARY (FEATURE),FOR SAMA,Waad al-Kateab and Edward Watts,2020,nominee
DOCUMENTARY (FEATURE),HONEYLAND,"Ljubo Stefanov, Tamara Kotevska and Atanas Georgiev",2020,nominee
DOCUMENTARY (SHORT SUBJECT),LEARNING TO SKATEBOARD IN A WARZONE (IF YOU'RE A GIRL),Carol Dysinger and Elena Andreicheva,2020,nominee
DOCUMENTARY (SHORT SUBJECT),IN THE ABSENCE,Yi Seung-Jun and Gary Byung-Seok Kam,2020,nominee
DOCUMENTARY (SHORT SUBJECT),LIFE OVERTAKES ME,John Haptas and Kristine Samuelson,2020,nominee
DOCUMENTARY (SHORT SUBJECT),ST. LOUIS SUPERMAN,Smriti Mundhra and Sami Khan,2020,nominee
DOCUMENTARY (SHORT SUBJECT),WALK RUN CHA-CHA,Laura Nix and Colette Sandstedt,2020,nominee
FILM EDITING,FORD V FERRARI,Michael McCusker and Andrew Buckland,2020,nominee
FILM EDITING,THE IRISHMAN,Thelma Schoonmaker,2020,nominee
FILM EDITING,JOJO RABBIT,Tom Eagles,2020,nominee
FILM EDITING,JOKER,Jeff Groth,2020,nominee
FILM EDITING,PARASITE,Yang Jinmo,2020,nominee
INTERNATIONAL FEATURE FILM,PARASITE,South Korea,2020,nominee
INTERNATIONAL FEATURE FILM,CORPUS CHRISTI,Poland,2020,nominee
INTERNATIONAL FEATURE FILM,HONEYLAND,North Macedonia,2020,nominee
INTERNATIONAL FEATURE FILM,LES MISÉRABLES,France,2020,nominee
INTERNATIONAL FEATURE FILM,PAIN AND GLORY,Spain,2020,nominee
MAKEUP AND HAIRSTYLING,BOMBSHELL,"Kazu Hiro, Anne Morgan and Vivian Baker",2020,nominee
MAKEUP AND HAIRSTYLING,JOKER,Nicki Ledermann and Kay Georgiou,2020,nominee
MAKEUP AND HAIRSTYLING,JUDY,Jeremy Woodhead,2020,nominee
